responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
2408,1968,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Somewhat unlikely,much more productive,0,9,4,3,0,9,4,3
2409,1980,Female,Other Services,Other,Between 20 and 199,No,One parent family with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Somewhat likely,Somewhat likely,Very likely,much more productive,3,10,2,3,0.1,10,4.9,3
2410,1987,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Couple with dependent children,Between 6 and 12 months,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,1-2 days,2-3 days,Somewhat likely,Very likely,Somewhat likely,more productive,3,8,1,6,0,8,2,8
2411,1961,Female,Financial and Insurance,Professionals - ICT Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,3,9,3,1,0.5,10,4.5,1
2412,1969,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Very likely,much more productive,3,5,5,5,0,7.5,5,5
2413,1985,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,4-5 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,2.5,8,4,2.5,0.5,8,5.5,3
2414,1963,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,0,13,6,1,0,13,6,1
2415,1983,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,more productive,2,8,4,3,0,8,5,4
2416,1965,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Very likely,Somewhat likely,Very likely,same productivity,2,10,4,2,0.5,11,4.5,2
2417,1986,Male,"Professional, Scientific and Technical",Other,More than 200,No,Couple with dependent children,Between 6 and 12 months,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,much more productive,2,8,1,1,2,10,2,2
2418,1975,Female,Health Care and Social Assistance,Managers - Specialist Managers,I am a sole trader/owner-operator,No,Single person,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,2,2,8,1,0.5,2,8,1
2419,1981,Male,Other,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat likely,same productivity,3.5,7,4,2.5,0.5,7,5,4.5
2420,1995,Male,Financial and Insurance,Other,I am a sole trader/owner-operator,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,much more productive,5,6,3,4,4,6,5,4
2421,1977,Female,Financial and Insurance,Other,More than 200,No,Multiple family household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Neither unlikely or likely,Very likely,much more productive,0,7.5,3.5,5,0.5,7.5,3.5,5
2422,1972,Male,Other,Other,Between 1 and 4,Yes,Other one family household,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,1-2 days,2-3 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,more productive,1,8,2,4,4,8,4,4
2423,1960,Female,Financial and Insurance,Other,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Very likely,Very likely,Very likely,much more productive,1.5,11,4,1.5,0,11,5.5,1.5
2424,1967,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,more productive,3,9,2,3,1,10,3,3
2425,1989,Male,Financial and Insurance,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,12,2,2,1,12,2,2
2426,1985,Male,Retail Trade,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2,10,3.5,2,0.5,8,4,2.5
2427,1965,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,7,6,2,0.5,6,6.5,3
2428,1973,Male,Other,Managers - Specialist Managers,Between 1 and 4,No,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,0,8,5,3,0,8,5,3
2429,1965,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,same productivity,2,9,4,1,0,10,5,1
2430,1963,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Very likely,Somewhat likely,Very likely,same productivity,1.5,10,4.5,0.5,0.5,11,4.5,0.5
2431,1975,Female,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Multiple family household,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,1-2 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,same productivity,1,8,3,4,0,9,2,5
2432,1995,Male,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither unlikely or likely,Somewhat likely,Very likely,less productive,1.75,6.75,3.75,2.75,0,7.5,4.25,4.25
2433,1987,Male,Other,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,2-3 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat likely,much more productive,1,8,3,4,1,8,4,3
2434,1967,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,same productivity,3,8,4,2,1,9,4,3
2435,1971,Male,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,4-5 days,2-3 days,Very likely,Very likely,Very likely,same productivity,2,10,4,1,2,10,4,1
2436,1975,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat unlikely,Somewhat likely,Somewhat likely,same productivity,2.5,9.5,2.25,2,0.5,9.5,4.25,2
2437,1958,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Very unlikely,Very unlikely,same productivity,2,8,2,4,0,9,2.5,4
2438,1957,Male,Other Services,Other,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much less productive,2,12,3,1,1,8,3,4
2439,1989,Male,Other,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,2,9,3,1,0,9,3,3
2440,1999,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,less productive,2,10,2,4,1,7,3,5
2441,1985,Male,Health Care and Social Assistance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,1,7.5,3,1,0.5,9,1,2.5
2442,1963,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat likely,Very likely,Somewhat likely,more productive,2,8,5,1,0,10,5,1
2443,1986,Female,Health Care and Social Assistance,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,much more productive,3,8,2,3,0.5,8.5,4,3
2444,1987,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",I am a sole trader/owner-operator,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,3,8,2,3,0.5,8,4,4
2445,1980,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,0-1 days,0-1 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,3,7,4,2,1,7,5,3
2446,1992,Male,Other,Other,Between 20 and 199,No,Other one family household,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Very likely,Somewhat likely,much more productive,2,8.5,3,2,0.5,9,3.5,2
2447,1983,Female,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat unlikely,Somewhat likely,Somewhat likely,much more productive,3,8,4,1,0.5,8,6.5,1
2448,1971,Female,Financial and Insurance,Managers - Specialist Managers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat unlikely,Somewhat unlikely,much more productive,2.5,7,4.5,2,0.5,9,4.5,2
2449,1973,Female,Other Services,Other,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,3-4 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat unlikely,much more productive,1,7,4,3,1,7,4,3
2450,1967,Female,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,3,7,4,2,0,9,4,3
2451,1982,Male,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Neither unlikely or likely,Somewhat likely,Very likely,less productive,1.5,8.5,4.5,1.5,0.5,8.5,5.5,1.5
2452,1977,Female,"Professional, Scientific and Technical",Other,Between 5 and 19,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very unlikely,more productive,3,5,4,4,0,8,4,4
2453,1966,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,3,8,3,2,0,10,3,3
